spec_id,mol_id,group_id
37379,11020,3910
10731,8619,867
35420,25627,3771
38851,19896,4017
21761,4015,1828
14251,24192,1177
6397,7878,538
20459,14585,1617
35404,6698,3770
15558,3219,1268
11506,1888,925
19482,20898,1527
5853,664,495
23541,3272,2193
27492,4050,3041
2075,4817,187
23651,18166,2216
3592,22702,324
1194,2537,121
9810,8177,799
15471,3945,669
32687,22534,3546
26944,4172,2926
36405,10209,3837
2930,20130,266
11062,20555,891
3763,3222,338
6260,26519,528
31596,21061,3456
38359,18609,3983
4400,25808,388
25430,2991,2604
16361,2252,1252
14764,20765,1203
6268,26519,528
8813,3884,724
29345,7956,3265
17561,20432,1401
27963,14593,3125
21282,3161,1735
8911,22479,732
11499,1888,925
28644,3247,3178
9066,19021,745
15391,2362,667
36177,20476,3821
37375,11020,3910
12795,10829,1034
15870,18854,480
24771,6216,2461
28552,4167,3171
29518,23020,3279
13465,1413,1090
21587,18019,1792
16457,13943,1325
34126,4311,3654
34881,1251,3721
2502,26076,222
2256,9971,202
22228,3893,1914
32003,10609,3489
18040,18951,1433
13281,25711,1076
39856,12727,4085
1719,23366,161
6067,25262,513
37894,25227,3950
8955,7386,735
38046,18288,3963
11061,20555,891
19493,20893,1528
242,7929,33
22470,18241,1962
18039,18951,1433
22624,19301,1993
13401,4243,1082
31207,13922,3421
19843,5630,1556
27049,2970,2946
4396,25808,388
34121,4311,3654
10525,11876,853
26763,4017,2889
15835,18482,1290
24199,6162,2336
11639,15272,937
9404,16532,769
32627,24708,3541
7974,9041,659
15359,2353,1256
5508,18900,468
23471,18209,2178
24528,18239,2408
238,7929,33
29396,7252,3270
16460,13943,1325
20631,18730,1644
5181,19146,445
5701,18764,483
12180,14701,979
28228,6137,3145
21897,18404,1850
8033,18876,664
17805,16621,1417
31571,25920,3452
37952,214,3955
29426,7759,3272
29603,10042,3285
25171,14478,2551
8572,25555,706
30364,22515,3341
3056,19087,278
17080,20429,1367
34087,4309,3651
16899,9376,1355
15458,2316,1261
3908,3035,350
6984,1268,580
7223,2984,602
7098,7616,589
28254,6164,3147
35236,18790,3758
21851,18820,1844
34129,4311,3654
38697,13994,4007
37930,2332,3954
39174,17055,4038
28438,3185,3163
19724,25711,1076
2927,20130,266
29267,19483,3260
15170,25482,1240
21455,4064,1765
37906,165,3952
13424,25709,1086
15762,1435,1283
31696,12535,3464
7229,2984,602
17676,11539,1408
1298,13464,129
35418,25627,3771
4050,4053,362
34128,4311,3654
27643,3252,3073
31043,13461,3408
25806,19260,2684
13254,25712,1074
29928,25025,3307
34649,4886,194
16065,3856,1300
5857,664,495
21935,18867,1856
12083,20454,969
8566,25555,706
26126,3026,2753
21548,18003,1783
22046,3925,1875
36242,6460,3826
19155,18877,1508
10803,26375,872
23191,6249,2117
6931,14471,575
38597,8237,4000
29173,24576,3253
15752,1435,1283
16330,18962,1316
26964,4152,2930
34084,4308,3650
26022,14584,2729
3857,1461,345
1713,23366,161
28392,4035,3159
2036,4810,185
20242,1439,1602
27556,19309,3055
37045,6964,3884
2854,4265,83
1410,22383,139
291,7774,38
38068,9779,3964
5793,26588,489
16963,6933,1360
17334,19459,1385
23321,18231,2145
22959,14551,2064
35609,18657,3784
26949,4173,2927
28394,4035,3159
19056,15927,1500
10011,8708,813
22838,4028,2037
36111,16225,3816
34849,4814,3708
21358,14510,1749
22842,19252,2038
2862,3106,257
15624,3188,1273
22015,4225,1869
19741,25711,1076
38159,15811,3970
11394,23556,917
24478,14557,2397
18028,20789,1432
27745,18122,3095
2174,4886,194
15218,20535,1245
29151,19412,3252
37942,214,3955
6623,7515,553
29958,7253,3309
23725,18079,2232
38898,18863,4021
25173,14478,2551
5157,10816,443
26039,18068,2733
30758,7564,3381
8090,18737,670
29540,7264,3281
14493,22037,1189
20955,18837,1704
25467,4063,2611
16524,10396,1330
22673,19229,2004
16985,11304,1361
36110,16225,3816
29335,7956,3265
10133,14731,823
37524,4092,3923
10516,11876,853
21939,18867,1856
25836,19206,2690
26181,18022,2765
22215,3921,1912
671,22374,81
37729,16689,3939
14550,25677,1191
6266,26519,528
15202,7383,209
6258,26519,528
25314,19230,2579
31278,4285,3428
29174,24576,3253
21591,4210,1793
19019,24639,1498
11075,18597,892
2038,4810,185
8081,18737,670
658,22374,81
23309,18095,2143
17530,14151,1399
4970,6791,430
17864,2251,1421
16812,5913,1349
8083,18737,670
35125,26060,3743
16986,11304,1361
14556,25677,1191
23537,3271,2192
8439,20568,696
30000,7265,3312
11466,4798,921
38570,7569,3997
20488,3904,1619
31862,15436,3478
23485,18265,2181
18370,4673,1455
27538,19211,3051
10802,26375,872
21821,2969,1841
33975,8568,3639
35622,18657,3784
11356,18758,914
20969,6179,1706
21730,4150,1820
24554,18219,2414
4459,20549,395
26392,18017,2808
3440,8347,310
9092,6700,733
14759,20765,1203
29544,7264,3281
10778,20259,870
11659,20246,939
19737,25711,1076
22713,19190,2012
20628,19316,1643
17335,19459,1385
22250,3927,1919
7234,2984,602
3758,3222,338
8916,22479,732
2452,3288,218
39522,23851,4062
8912,22479,732
11060,20555,891
15821,18482,1290
25772,18165,2676
15086,9971,202
26623,14564,2858
18253,16335,1201
34306,2152,3668
26521,18200,2835
19470,20898,1527
16589,23637,1333
16309,10863,1315
12787,10829,1034
37474,5937,3919
31911,25974,3482
11560,1887,929
4402,25808,388
12562,14081,1010
5177,19146,445
22288,18145,1926
6793,22700,567
14789,20771,1206
22290,18145,1926
10893,19467,880
11675,6469,940
27344,6241,3008
31031,21629,3407
28329,6188,3153
38476,1407,3991
16666,10285,1339
8981,25480,737
23078,18183,2090
27854,3901,3117
20466,14585,1617
26024,19193,2730
16992,11304,1361
8249,18725,683
37044,6964,3884
15011,19364,1227
29288,7976,3261
21950,18871,1858
11651,11350,938
6905,22246,573
14206,25709,1086
6181,3414,523
21707,4182,1816
6214,22741,525
8562,16540,705
3744,2996,336
21329,3180,1744
194,7584,29
24672,3156,2439
3042,1462,276
6975,1268,580
27190,2934,2978
10136,14731,823
37981,16271,3957
6255,26519,528
8355,1208,690
10899,19467,880
20243,1439,1602
2291,5110,205
37163,18717,3894
6231,4136,526
15569,3219,1268
23410,19297,2165
21815,2937,363
37960,12493,3956
18722,18279,1480
23300,19225,2141
18342,25674,1453
19084,16228,1503
7816,17992,648
16915,9367,1356
17256,22211,1380
25489,19188,2615
37499,9483,3922
31285,4285,3428
6257,26519,528
1817,8389,168
25971,19232,2718
35299,9256,3763
26491,19182,2829
14997,2801,1225
329,7805,42
19160,18877,1508
30136,801,3323
37083,20744,3887
8345,1208,690
35644,9464,3786
26825,4187,2901
17919,14309,1425
37046,6964,3884
35728,17981,3791
37683,16414,3935
36165,20476,3821
27919,21982,3122
7047,7677,586
8277,11558,685
6129,420,519
34041,4306,3647
27278,19209,2995
39853,12727,4085
25922,19278,2707
9811,8177,799
19596,25751,1058
9853,3948,802
37421,13373,3914
29343,7956,3265
27962,14593,3125
22157,14531,1899
2215,8826,197
39515,23851,4062
19846,5630,1556
38586,18317,3999
17793,15394,1416
9042,4250,743
16099,26458,1303
21763,2947,1829
2557,26289,226
8882,25834,730
16677,343,1340
22839,19252,2038
2858,7572,254
27864,4036,3118
16659,16551,1338
35327,14321,3765
25229,19179,2562
22894,19342,2049
5536,25707,470
24920,3153,2493
10648,25947,862
21692,4156,1813
3172,17161,286
5228,13749,448
16964,6933,1360
17800,16621,1417
3584,22702,324
35422,25627,3771
38285,12939,3978
35388,11898,3769
12054,20769,968
24921,3153,2493
11367,18758,914
17242,22978,1379
21852,18820,1844
6795,22700,567
36103,16225,3816
24943,3192,2499
661,22374,81
11188,8363,903
15666,23044,1277
27398,19222,3020
6005,18563,507
27346,6241,3008
9846,3948,802
22014,4225,1869
10717,15046,866
29265,19483,3260
14233,25178,1175
3505,18898,317
16002,18856,1295
37402,2565,3912
24591,4206,2422
14096,20557,1162
21469,21989,1768
2338,7383,209
19785,25756,1551
9740,9096,794
9739,9096,794
23667,4046,2220
19422,14527,1525
5849,664,495
21108,6182,1718
28739,14487,3185
38847,19896,4017
28283,14503,3149
29548,7264,3281
158,7881,25
13244,25743,1072
17241,22978,1379
4853,18792,422
29395,7252,3270
15390,2362,667
15560,3219,1268
24793,3176,2465
14488,22037,1189
34313,2152,3668
38838,19896,4017
20310,4923,1604
13603,22371,1102
38347,11299,3982
15619,18823,1272
10025,3818,814
29786,14455,3298
21161,3237,1723
20760,18889,1667
35396,6698,3770
5425,20116,462
30216,12495,3328
2217,8826,197
7044,7677,586
3789,3897,340
11015,18745,888
35403,6698,3770
23146,19310,2107
27163,2949,2972
8991,25480,737
2830,22393,250
21290,3197,1737
26924,4164,2921
35010,12588,3735
15183,19419,207
20556,3225,1631
33966,8568,3639
12560,14081,1010
16018,19988,1297
37042,6964,3884
27773,4223,3101
23970,3016,2284
21810,2938,1839
23451,19189,2173
1319,23292,131
34568,4804,3689
13333,25751,1058
37744,10798,3940
26513,19305,2833
22004,18230,1867
31968,1137,3486
18042,18951,1433
14555,25677,1191
27259,19184,2992
11655,11350,938
21755,4185,1827
23186,18177,2115
19015,24639,1498
30189,21889,3326
20429,9562,1614
30147,801,3323
21370,14510,1749
7408,1432,616
21856,18820,1844
18044,18951,1433
17284,22220,1382
23430,4072,2169
23458,19215,2175
10068,19036,818
2771,18687,245
20299,4923,1604
8068,3945,669
2341,7383,209
30113,10982,3321
11500,1888,925
2216,8826,197
8253,18725,683
34098,4309,3651
25260,19302,2568
8013,3898,662
23263,19199,2133
28193,6145,3142
9647,14704,788
39362,26059,238
13021,25751,1058
19259,18804,1515
28631,3238,3177
29547,7264,3281
34929,1252,3727
17225,22884,1378
22131,3915,1894
725,22337,85
9399,16532,769
15640,22015,1274
9401,16532,769
31908,25974,3482
6041,873,511
26494,19182,2829
25289,18168,2574
31136,13723,3416
23969,3016,2284
28636,3238,3177
25000,14493,2511
36170,20476,3821
16003,18856,1295
29938,7260,3308
20257,1432,616
28611,3232,3176
38072,9779,3964
33742,24699,3620
38057,18288,3963
37315,18649,3904
16836,944,1351
23753,19347,2238
14453,14778,1186
21280,3161,1735
10594,9182,859
12056,20769,968
31807,14989,3475
10474,9519,850
29271,19483,3260
20712,19323,1658
21303,6218,1739
10019,3818,814
7991,19056,660
9583,1995,783
23055,2995,2085
12178,14701,979
23112,19187,2099
20263,1432,616
8007,3898,662
15578,18826,1270
10710,15046,866
31694,12535,3464
12210,20779,981
8450,11191,697
34837,4755,3713
22668,6214,2003
16709,943,1342
34119,4311,3654
15875,18854,480
8920,6700,733
8921,6700,733
19588,25751,1058
11569,1887,929
19026,24639,1498
16120,2801,1225
26283,18029,2785
8032,18876,664
20669,18737,670
20817,19339,1677
17904,12642,1424
26402,18018,2810
18034,18951,1433
29991,7265,3312
20932,18228,1700
31237,9135,3424
20644,23864,1645
29990,7265,3312
28714,3218,3183
38084,14454,3965
4164,897,372
20135,6021,1593
2778,18687,245
13559,25706,1097
13039,25751,1058
11366,18758,914
27999,3897,340
3393,20415,307
31011,8742,3406
22117,6202,1891
29284,7976,3261
8905,22479,732
9836,10460,801
24826,14546,2472
8884,25834,730
22190,3912,1907
3588,22702,324
27301,19307,2999
18251,16335,1201
18020,20789,1432
25859,18074,2694
15626,3188,1273
16525,10396,1330
7407,1432,616
39176,17055,4038
10305,1514,837
27997,18021,3128
27641,3252,3073
23948,4220,2280
34079,4308,3650
39630,12226,4073
35349,20006,3767
22443,14567,1956
8441,20568,696
20182,22002,1598
29953,7253,3309
37708,16417,3937
22224,3893,1914
14780,25176,1204
341,7807,44
25946,18178,2712
17906,12642,1424
4178,26295,373
38363,18609,3983
17223,22884,1378
28257,6164,3147
6900,24610,572
10828,22218,874
27298,19307,2999
13028,25751,1058
18667,11697,1475
1314,23292,131
11549,179,928
12063,20769,968
18571,19541,1469
34130,4311,3654
24206,6163,2337
3917,3035,350
10518,11876,853
10510,11876,853
17404,2077,1391
21714,4168,1818
17408,2077,1391
27111,2952,2960
10775,20259,870
22082,3937,1884
31205,13922,3421
23639,3034,2214
20248,1439,1602
27064,2974,2949
17454,13731,1394
11485,168,923
22468,18241,1962
38516,6673,3993
37749,10798,3940
22299,18049,1928
23337,19247,2149
5156,10816,443
15223,20535,1245
24756,3189,2457
7477,15936,621
13438,25709,1086
21636,19318,1804
21039,6158,1713
5776,1438,488
37910,165,3952
28112,18395,3138
30790,7059,3383
17677,11539,1408
28223,6137,3145
2987,22579,272
34856,4814,3708
34567,4804,3689
8529,18561,703
12603,13806,1014
23706,18051,2228
16373,5464,1318
18793,14347,1484
22260,3933,1921
13785,4339,1123
39839,5704,517
15723,9933,1280
37736,16689,3939
34753,4747,3706
21896,18404,1850
23291,18246,2139
243,7929,33
31049,13461,3408
27992,18021,3128
16705,943,1342
23879,19332,2265
16368,5464,1318
27194,2934,2978
11706,4305,942
10055,19036,818
36403,10209,3837
27063,2974,2949
38591,18317,3999
27744,18122,3095
29165,24576,3253
23157,18205,2109
9881,10774,805
20071,21953,1584
5834,3328,493
17102,17025,1368
39251,12864,4044
19048,15927,1500
25961,6253,2716
7289,3261,606
2295,5110,205
22717,19190,2012
9102,6700,733
10468,9519,850
15799,18704,1288
37746,10798,3940
20585,18734,1616
18577,19541,1469
27863,4036,3118
8671,18885,713
6106,5704,517
26348,18005,2799
7828,17992,648
6764,18861,565
29393,7252,3270
5854,664,495
25020,14521,2515
20300,4923,1604
13772,20531,1122
38891,18276,4020
28268,2956,3148
39516,23851,4062
8163,18803,676
34227,8382,3662
17769,26539,1414
30365,22515,3341
14900,19365,1216
11173,7883,902
36439,19454,3839
3165,17161,286
18578,19541,1469
3856,1461,345
5220,13749,448
2457,3288,218
14497,22037,1189
27983,18733,3127
38165,15811,3970
18288,1759,1449
30049,6674,3317
11374,25812,915
18374,4673,1455
6099,13173,516
35613,18657,3784
28120,18395,3138
16358,2252,1252
23886,18243,2267
20652,23864,1645
3746,2996,336
15302,2252,1252
8449,11191,697
22724,18057,2014
18332,25674,1453
3497,18898,317
18468,16472,1461
30187,21889,3326
11504,1888,925
17534,14151,1399
24099,6184,2314
27485,4049,3039
26586,18104,2849
28521,19181,3169
8952,7386,735
11391,23556,917
17261,22211,1380
3846,1461,345
8961,7386,735
16325,18962,1316
15627,3188,1273
6101,13173,516
22649,19275,1998
35355,20006,3767
3344,6106,301
1819,8389,168
15882,18854,480
9732,9096,794
18030,18951,1433
12793,10829,1034
6982,1268,580
26856,4166,2908
23155,18205,2109
37077,20744,3887
28240,19149,3146
27943,6242,3123
22420,3244,1951
20594,18734,1616
13075,21699,1061
13077,21699,1061
17533,14151,1399
698,4265,83
14209,25709,1086
9095,6700,733
10138,14731,823
15654,22015,1274
26818,4186,2899
38135,3370,3968
16708,943,1342
24555,18219,2414
18665,11697,1475
23530,18112,2190
2055,4811,186
8037,18876,664
8490,22274,699
3910,3035,350
34852,4814,3708
567,6046,74
27060,2974,2949
9098,6700,733
4049,4053,362
26658,19220,2865
28047,6149,3132
12129,12909,973
2871,2695,79
10300,1514,837
25301,6219,2576
23666,4046,2220
29839,18274,3302
9396,16532,769
37742,10798,3940
17680,11539,1408
26027,19193,2730
19091,16228,1503
35361,20006,3767
19291,18830,1517
19001,16545,1497
8010,3898,662
39860,4052,4086
37953,214,3955
18789,14347,1484
25131,14496,2542
39177,17055,4038
24252,6143,2348
30436,7731,3347
23079,18183,2090
6551,22532,548
32626,24708,3541
28050,6149,3132
25709,18125,2664
19224,22119,1513
27688,18066,3083
21610,18769,1798
23713,19210,2230
18403,10142,1457
17910,12642,1424
35927,2417,3804
16334,18962,1316
6292,4809,530
29838,18274,3302
38770,10155,4012
16127,2801,1225
2326,2243,208
21118,6182,1718
12215,20779,981
23365,4227,2155
21338,3155,1746
36321,5991,3831
24421,6227,2385
2451,3288,218
837,3056,91
37914,165,3952
22637,19340,1995
14552,25677,1191
11239,19931,906
36624,2165,3851
17913,12642,1424
28520,19181,3169
37878,6600,3949
37748,10798,3940
28125,19172,3139
38890,18276,4020
19414,18699,1524
26634,19194,2860
26300,18014,2789
18461,16472,1461
16436,9504,1324
18402,10142,1457
10726,8619,867
37889,25227,3950
2374,2249,211
27108,2952,2960
23484,18265,2181
15618,18823,1272
32012,10609,3489
37467,5937,3919
36284,17034,3829
21049,6158,1713
11832,19449,951
34094,4309,3651
17018,11302,1363
13466,1413,1090
15607,18823,1272
3170,17161,286
39603,10192,4069
21901,18404,1850
11196,8363,903
21540,18412,1781
19409,18699,1524
31286,4285,3428
28330,6188,3153
25676,18247,2657
15609,18823,1272
20452,18734,1616
21382,14522,1752
37771,21071,3942
39332,13096,4050
21116,6182,1718
36325,5991,3831
1997,16539,181
17923,14309,1425
11526,1240,926
15642,22015,1274
29325,7983,3264
15671,23044,1277
36164,20476,3821
38361,18609,3983
32127,18455,3506
39367,26059,238
22762,18113,2022
31325,20165,3430
15672,23044,1277
19261,18804,1515
23051,2994,2084
17216,22884,1378
21944,18876,664
19424,14527,1525
22528,3010,1974
34885,1251,3721
34080,4308,3650
8333,14460,689
28260,6164,3147
9648,14704,788
39179,17055,4038
19899,1766,1562
21567,6231,1787
16613,20547,1335
15090,9971,202
18960,20261,1494
37611,18349,3929
23461,19215,2175
29394,7252,3270
17254,22210,1032
30428,7731,3347
27959,14593,3125
24477,14557,2397
31287,4285,3428
26921,4164,2921
25050,14515,2523
17262,22211,1380
9882,10774,805
34073,4308,3650
5576,6929,474
16054,16343,1207
5426,20116,462
8811,3884,724
10895,19467,880
36181,16356,3822
39337,13096,4050
36435,19454,3839
6772,18861,565
29340,7956,3265
15789,1429,1286
2073,4817,187
14319,25709,1086
17635,23348,1405
15988,18856,1295
9124,26778,747
8153,10282,675
32079,1215,3502
25615,3263,2643
21256,19165,1732
6533,22824,546
18360,4673,1455
39110,5678,4034
2506,26076,222
30426,7731,3347
27172,2954,2974
8929,6700,733
22344,19345,1936
8159,10282,675
25814,18150,2686
20718,14582,1660
30317,26525,3338
3047,19087,278
7474,15936,621
21720,3222,338
21802,2950,1837
12502,12508,1005
19421,14527,1525
35323,14321,3765
17683,11539,1408
16976,6933,1360
35771,18508,3794
21825,18822,1842
10604,9182,859
21261,19165,1732
30084,7838,3319
25449,18154,2607
26272,18028,2783
38568,7569,3997
35331,14321,3765
7054,7677,586
8436,20568,696
17567,20432,1401
35280,11618,3761
4227,19094,376
4721,22584,413
14837,1470,1210
32695,22534,3546
5514,18900,468
17807,16621,1417
10470,9519,850
28395,4035,3159
36663,2132,3854
21953,18871,1858
3044,19087,278
559,23376,73
15482,3945,669
20391,12862,1611
35928,2417,3804
38404,5501,3986
25952,6225,2714
3712,3273,334
23542,3272,2193
22156,14531,1899
20520,3913,1625
8552,16540,705
1325,23292,131
38888,18276,4020
17982,20456,1429
39645,5684,4074
35329,14321,3765
3780,3897,340
33892,11810,3633
2881,7722,259
10517,11876,853
25650,19201,2651
39629,12226,4073
579,6046,74
35410,25627,3771
21160,3237,1723
20965,6179,1706
25722,19248,2666
16672,343,1340
15014,19364,1227
29959,7253,3309
7817,17992,648
11260,18271,908
2570,26256,227
36319,5991,3831
31116,24675,3414
9731,9096,794
32624,24708,3541
31204,13922,3421
9394,16532,769
9097,6700,733
7294,6897,607
3786,3897,340
6826,18816,569
22514,18132,1971
18726,18279,1480
2856,1292,87
19023,24639,1498
10428,11862,847
2265,9971,202
37513,4092,3923
12817,21133,1037
34561,4804,3689
10769,20259,870
26587,18104,2849
13454,25712,1074
2293,5110,205
3053,19087,278
557,23376,73
20553,3225,1631
31693,12535,3464
27500,19258,3043
31804,14890,3474
23773,19282,2242
7479,15936,621
29139,19553,3250
38411,5501,3986
26508,18076,2832
36365,18278,3834
37340,13203,3906
29926,25025,3307
22767,19242,2023
10718,15046,866
29858,1206,3303
16903,9367,1356
22062,3908,1879
38658,1594,4004
20869,18833,1686
20627,19316,1643
27205,2933,2981
24729,3196,2451
13334,25751,1058
25651,19201,2651
31800,14890,3474
24023,6177,2297
28210,6229,3144
11517,1240,926
15716,9933,1280
10519,11876,853
16910,9367,1356
30737,24268,3379
11784,3729,947
7053,7677,586
8697,24359,716
21362,14510,1749
17270,22211,1380
26434,18025,2817
26985,4178,2934
9131,26778,747
17528,14151,1399
38843,19896,4017
11149,18808,898
37966,12493,3956
37879,6600,3949
21538,18412,1781
1137,14097,117
2450,3288,218
32698,22534,3546
7805,8843,646
28236,19149,3146
20705,6251,1657
9983,26216,811
14745,16335,1201
18376,15019,1456
39708,12228,4077
31698,12535,3464
37319,18649,3904
38700,13994,4007
10514,11876,853
23628,4235,2212
38075,9779,3964
39016,4397,4029
31041,13461,3408
4261,8770,378
8331,14460,689
17082,20429,1367
26037,18068,2733
17133,12514,1371
8065,2362,667
19705,25764,1548
12599,13806,1014
34559,4804,3689
16058,3856,1300
34210,8381,3661
31850,15436,3478
24999,14493,2511
22655,18167,2000
10307,1514,837
36256,10856,3827
16924,26584,1357
38587,18317,3999
2327,2243,208
17853,6030,1420
32139,18455,3506
13062,21699,1061
14263,25709,1086
2466,10405,219
21162,3237,1723
5778,1438,488
15613,18823,1272
24359,18075,2372
20504,3916,1622
31131,13723,3416
14254,24192,1177
22183,3911,1905
10709,15046,866
34880,1251,3721
17248,22210,1032
39114,5678,4034
6234,4136,526
29914,18726,3306
4057,2937,363
18670,11697,1475
35545,10726,3780
31468,7385,3444
6910,22246,573
25891,18206,2700
10580,25430,857
6251,10843,527
22052,3902,1876
11885,17047,955
29763,17991,3297
25833,19206,2690
22707,14542,2010
11020,18745,888
7969,9041,659
15001,19364,1227
19404,18699,1524
27520,19186,3047
22389,6238,1945
35387,11898,3769
9403,16532,769
4854,18792,422
26650,18240,2863
12740,5408,1029
34222,8381,3661
15907,18885,713
24675,3157,2440
11709,4305,942
17217,22884,1378
18847,25048,1487
9091,6700,733
2071,4817,187
33647,24701,3614
23627,4235,2212
21893,14572,1849
29841,18274,3302
27779,4224,3103
37964,12493,3956
7942,18744,657
27406,18092,3022
24369,19171,2374
10476,9519,850
14285,25709,1086
4052,4053,362
22956,14551,2064
15006,19364,1227
15178,19419,207
38565,7569,3997
29727,903,3294
21922,18825,1854
24830,3166,2473
16829,944,1351
10497,8390,852
8069,3945,669
31691,12535,3464
26532,19344,2837
19405,18699,1524
294,7774,38
25360,19191,2589
10832,22218,874
6980,1268,580
8962,7386,735
8038,18876,664
17440,13732,1393
2586,22808,229
3495,18898,317
14939,8826,197
26358,17998,2801
10464,9519,850
13330,25751,1058
9579,1995,783
21379,14494,1751
23457,19215,2175
6923,14471,575
31538,7649,3449
1136,14097,117
12509,12508,1005
4456,20549,395
29569,1105,3283
15848,18042,305
85,7917,14
26536,18257,2838
38736,18326,4009
21808,2938,1839
34674,4893,3699
13295,25711,1076
31471,7385,3444
27578,19348,3059
24159,6171,2328
24413,18171,2383
6797,22700,567
30146,801,3323
16331,18962,1316
21867,19320,1847
19061,15928,1501
28272,2956,3148
6186,3414,523
29760,17991,3297
4160,897,372
9388,14699,768
10835,22218,874
21862,6240,1846
32316,24707,3519
17319,18849,1384
22476,19221,1964
35425,25627,3771
26330,14561,2795
29320,7983,3264
18662,11697,1475
21909,18404,1850
1566,431,151
24291,6187,2356
14865,24193,1213
12121,12909,973
23293,18246,2139
26549,18172,2841
27856,3901,3117
19726,25711,1076
28742,14487,3185
8438,20568,696
20894,19321,1692
9801,11167,798
20942,4222,1702
14070,20452,1160
6250,10843,527
8093,18737,670
17325,18849,1384
7409,1432,616
21029,6173,1712
22057,3903,1878
31540,7649,3449
12498,12309,1004
6801,22700,567
16191,25818,1308
37546,18347,3925
10298,1514,837
1184,2537,121
23422,18191,2167
26128,3026,2753
13261,25712,1074
22097,3930,1887
15185,19419,207
10004,8708,813
34304,2152,3668
23429,4072,2169
9391,14699,768
25770,18165,2676
20134,14892,1592
15013,19364,1227
21365,14510,1749
14995,2801,1225
18459,16472,1461
30102,11008,3320
22342,18201,1935
36320,5991,3831
23638,3034,2214
18078,9569,1436
23449,19189,2173
39260,12864,4044
38042,13542,3962
34310,2152,3668
27545,18080,3053
26281,18029,2785
22835,4028,2037
28327,6188,3153
30138,801,3323
6444,10549,541
8616,24184,709
16357,2252,1252
17296,22220,1382
33962,8568,3639
20106,21952,1588
21364,14510,1749
29514,23020,3279
28516,19181,3169
35931,2417,3804
14071,20452,1160
23762,18260,2240
15088,9971,202
2254,9971,202
13782,4339,1123
20693,18894,1654
38680,26148,4006
1186,2537,121
23335,19247,2149
22072,3909,1881
34727,4844,3704
15880,18854,480
35337,14321,3765
34309,2152,3668
38482,1407,3991
6904,22246,573
30576,6980,3359
16686,343,1340
21387,14500,1754
12785,10829,1034
4113,2552,368
13230,25743,1072
18727,18279,1480
18795,14347,1484
4974,6791,430
23951,4220,2280
17436,13732,1393
20590,18734,1616
7401,1432,616
22517,4214,1972
10089,20777,820
28713,3218,3183
21951,18871,1858
14252,24192,1177
8531,18561,703
21539,18412,1781
15766,1435,1283
39702,12228,4077
22706,14542,2010
